,id,Subdistricts,District,Regency,Province,PostalCode
0,1,GAMBIR,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10110
1,2,KEBON KELAPA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10120
2,3,PETOJO UTARA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10130
3,4,DURI PULO,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10140
4,5,CIDENG,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10150
5,6,PETOJO SELATAN,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10160
6,7,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210
7,8,KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220
8,9,KEBON MELATI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10230
9,10,KEBON KACANG,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10240
10,11,KAMPUNG BALI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10250
11,12,PETAMBURAN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10260
12,13,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270
13,14,MENTENG,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10310
14,15,PEGANGSAAN,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10320
15,16,CIKINI,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10330
16,17,KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340
17,18,GONDANGDIA,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10350
18,19,SENEN,SENEN,JAKARTA PUSAT,DKI JAKARTA,10410
19,20,KWITANG,SENEN,JAKARTA PUSAT,DKI JAKARTA,10420
20,21,KENARI,SENEN,JAKARTA PUSAT,DKI JAKARTA,10430
21,22,PASEBAN,SENEN,JAKARTA PUSAT,DKI JAKARTA,10440
22,23,KRAMAT,SENEN,JAKARTA PUSAT,DKI JAKARTA,10450
23,24,BUNGUR,SENEN,JAKARTA PUSAT,DKI JAKARTA,10460
24,25,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,10510
25,26,CEMPAKA PUTIH BARAT,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,10520
26,27,GALUR,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10530
27,28,TANAH TINGGI,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10540
28,29,KAMPUNG RAWA,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10550
29,30,JOHAR BARU,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10560
30,31,RAWASARI,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,10570
31,32,GUNUNG SAHARI SELATAN,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10610
32,33,KEMAYORAN,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10620
33,34,KEBON KOSONG,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10630
34,35,CEMPAKA BARU,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10640
35,36,HARAPAN MULYA,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10640
36,37,SUMUR BATU,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10640
37,38,SERDANG,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10650
38,39,UTAN PANJANG,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10650
