,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude
0,GAMBIR,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10110,-6.17581116679651,106.826905664396
1,KEBON KELAPA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10120,-6.16206477977513,106.826741383746
2,PETOJO UTARA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10130,-6.16488195810053,106.818566007249
3,DURI PULO,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10140,-6.1651961,106.8102152
4,CIDENG,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10150,-6.16740539340644,106.812690493727
5,PETOJO SELATAN,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10160,-6.17571843553567,106.817905617335
6,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,-6.2116445,106.8116372
7,KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220,-6.20911508786607,106.818156747136
8,KEBON MELATI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10230,-6.19285524074269,106.812846050231
9,KEBON KACANG,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10240,-6.1905463,106.8195736
10,KAMPUNG BALI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10250,-6.18610039870881,106.816656235581
11,PETAMBURAN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10260,-6.19479171823066,106.801858800223
12,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,-6.221912,106.8089332
13,MENTENG,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10310,-6.2008962,106.8234129
14,PEGANGSAAN,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10320,-6.19690521725684,106.84195749805
15,CIKINI,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10330,-6.19082708927039,106.838364539266
16,KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,-6.185449,106.8291804
17,GONDANGDIA,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10350,-8.7996802,115.1506101
18,SENEN,SENEN,JAKARTA PUSAT,DKI JAKARTA,10410,-6.17945362988572,106.839463916241
19,KWITANG,SENEN,JAKARTA PUSAT,DKI JAKARTA,10420,-6.18832995,106.84648985
20,KENARI,SENEN,JAKARTA PUSAT,DKI JAKARTA,10430,-6.19697399863164,106.848370485168
21,PASEBAN,SENEN,JAKARTA PUSAT,DKI JAKARTA,10440,-6.1935937233394,106.851597963613
22,KRAMAT,SENEN,JAKARTA PUSAT,DKI JAKARTA,10450,-6.18565273747892,106.847240051893
23,BUNGUR,SENEN,JAKARTA PUSAT,DKI JAKARTA,10460,-8.7996802,115.1506101
24,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,10510,-6.19238547494203,106.851468608547
25,CEMPAKA PUTIH BARAT,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,10520,-6.17644399751905,106.860497326545
26,GALUR,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10530,-6.17485912338467,106.856765268034
27,TANAH TINGGI,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10540,-6.1757597,106.86933545
28,KAMPUNG RAWA,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10550,-8.7996802,115.1506101
29,JOHAR BARU,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10560,-6.1872543,106.8557118
