PASAR BARU,Coffee Shop,9.2
MENTENG,Restaurant,9.1
TANJUNG BARAT,Fast Food Restaurant,9.0
PETOGOGAN,Bakery,9.0
RAWA BARAT,Indonesian Meatball Place,8.9
MENTENG,Steakhouse,8.9
GELORA,American Restaurant,8.9
CILANDAK TIMUR,Coffee Shop,8.8
PULO,Fried Chicken Joint,8.8
MELAWAI,Fried Chicken Joint,8.8
GANDARIA SELATAN,Bakery,8.7
MANGGA DUA SELATAN,Food Truck,8.7
SENAYAN,Asian Restaurant,8.7
PEGANGSAAN,Restaurant,8.7
KEBON KACANG,Dessert Shop,8.7
KARET,Fast Food Restaurant,8.7
PULO,Italian Restaurant,8.7
MENTENG ATAS,Fast Food Restaurant,8.7
CIPETE UTARA,German Restaurant,8.7
PETUKANGAN SELATAN,Wine Bar,8.7
MELAWAI,Italian Restaurant,8.7
KEBON KACANG,Sushi Restaurant,8.65
TEGAL ALUR,Asian Restaurant,8.6
MENTENG DALAM,Pizza Place,8.6
CIPETE UTARA,Bistro,8.6
TANJUNG DUREN UTARA,Pizza Place,8.6
TEBET TIMUR,Pizza Place,8.6
PETUKANGAN SELATAN,Sushi Restaurant,8.6
SENAYAN,Beer Garden,8.6
TANJUNG DUREN SELATAN,Pizza Place,8.6
SUNTER AGUNG,Betawinese Restaurant,8.5
KEBON KACANG,Vietnamese Restaurant,8.5
GUNTUR,Japanese Restaurant,8.5
MENTENG,Chinese Restaurant,8.5
GROGOL UTARA,Food Truck,8.5
GANDARIA UTARA,Coffee Shop,8.433333333333334
SENAYAN,Japanese Restaurant,8.433333333333334
PULO,Noodle House,8.4
GUNTUR,Steakhouse,8.4
KEBON KACANG,Indian Restaurant,8.4
TANJUNG DUREN SELATAN,Sushi Restaurant,8.4
TANJUNG DUREN UTARA,Sushi Restaurant,8.4
KAMAL MUARA,Coffee Shop,8.4
PETUKANGAN SELATAN,Steakhouse,8.4
MELAWAI,Noodle House,8.4
KRAMAT PELA,Snack Place,8.4
CILANDAK BARAT,Coffee Shop,8.4
KARET TENGSIN,Steakhouse,8.4
CIKINI,Restaurant,8.4
SELONG,Coffee Shop,8.379999999999999
KEBON KACANG,Coffee Shop,8.357142857142858
TANJUNG DUREN SELATAN,Korean Restaurant,8.350000000000001
TANJUNG DUREN UTARA,Korean Restaurant,8.350000000000001
PONDOK LABU,Coffee Shop,8.35
KARET TENGSIN,Dim Sum Restaurant,8.3
RAWA BARAT,Korean Restaurant,8.3
BANGKA,Bistro,8.3
KEBON JERUK,Pizza Place,8.3
BANGKA,Hookah Bar,8.3
PULO,Seafood Restaurant,8.3
KAMAL MUARA,Bistro,8.3
KEBON JERUK,Seafood Restaurant,8.3
KEBON KACANG,Snack Place,8.3
KUNINGAN TIMUR,Italian Restaurant,8.3
JELAMBAR BARU,Coffee Shop,8.3
BANGKA,Middle Eastern Restaurant,8.3
PETAMBURAN,Food Truck,8.3
CIPETE UTARA,Indonesian Restaurant,8.3
BIDARACINA,Fast Food Restaurant,8.3
GLODOK,Coffee Shop,8.3
MELAWAI,Seafood Restaurant,8.3
MENTENG ATAS,Coffee Shop,8.299999999999999
TEBET BARAT,Dessert Shop,8.25
KEBON KELAPA,Seafood Restaurant,8.233333333333334
SELONG,Indonesian Restaurant,8.233333333333334
PEGANGSAAN,Coffee Shop,8.233333333333333
SUNTER JAYA,Indonesian Restaurant,8.2
PETOGOGAN,Soup Place,8.2
CIKINI,Dessert Shop,8.2
SETU,Pizza Place,8.2
UTAN PANJANG,Fast Food Restaurant,8.2
PETOJO UTARA,Seafood Restaurant,8.2
KEMBANGAN SELATAN,Steakhouse,8.2
PETUKANGAN SELATAN,Dumpling Restaurant,8.2
KRUKUT,Coffee Shop,8.2
KEMBANGAN UTARA,Steakhouse,8.2
TANJUNG DUREN SELATAN,Fried Chicken Joint,8.2
PONDOK PINANG,Bakery,8.2
PINANGSIA,Coffee Shop,8.2
SERDANG,Fast Food Restaurant,8.2
JELAMBAR,Seafood Restaurant,8.2
CIKINI,Middle Eastern Restaurant,8.2
TANJUNG DUREN UTARA,Fried Chicken Joint,8.2
JELAMBAR BARU,Seafood Restaurant,8.2
MERUYA UTARA (ILIR),Italian Restaurant,8.2
CILANDAK TIMUR,Snack Place,8.2
PEGANGSAAN DUA,Coffee Shop,8.2
PEGANGSAAN,Middle Eastern Restaurant,8.2
KEBON KACANG,Bakery,8.2
GANDARIA UTARA,Restaurant,8.15
