,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude,Note
0,GAMBIR,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10110,-6.17603923780416,106.826920197996,"10110 Jakarta, Indonesia"
1,KEBON KELAPA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10120,-6.1639598,106.8266664,"10120 Jakarta, Indonesia"
2,PETOJO UTARA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10130,-6.16488195810053,106.818566007249,"10130 Jakarta, Indonesia"
3,DURI PULO,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10140,-6.1651961,106.8102152,"10140 Jakarta, Indonesia"
4,CIDENG,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10150,-6.16740539340644,106.812690493727,"10150 Jakarta, Indonesia"
5,PETOJO SELATAN,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10160,-6.17571843553567,106.817905617335,"10160 Jakarta, Indonesia"
6,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,-6.2116445,106.8116372,"10210 Jakarta, Indonesia"
7,KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220,-6.20898876329943,106.818097759739,"10220 Jakarta, Indonesia"
8,KEBON MELATI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10230,-6.19285524074269,106.812846050231,"10230 Jakarta, Indonesia"
9,KEBON KACANG,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10240,-6.1905463,106.8195736,"10240 Jakarta, Indonesia"
10,KAMPUNG BALI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10250,-6.18610039870881,106.816656235581,"10250 Jakarta, Indonesia"
11,PETAMBURAN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10260,-6.19479171823066,106.801858800223,"10260 Jakarta, Indonesia"
12,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,-6.221912,106.8089332,"10270 Jakarta, Indonesia"
13,MENTENG,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10310,-6.2008962,106.8234129,"10310 Jakarta, Indonesia"
14,PEGANGSAAN,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10320,-6.19655086507396,106.841564451254,"10320 Jakarta, Indonesia"
15,CIKINI,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10330,-6.19082708927039,106.838364539266,"10330 Jakarta, Indonesia"
16,KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,-6.185449,106.8291804,"10340 Jakarta, Indonesia"
17,GONDANGDIA,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10350,-8.7996802,115.1506101,"10350 Jakarta, Indonesia"
18,SENEN,SENEN,JAKARTA PUSAT,DKI JAKARTA,10410,-6.17945362988572,106.839463916241,"10410 Jakarta, Indonesia"
19,KWITANG,SENEN,JAKARTA PUSAT,DKI JAKARTA,10420,-6.18832995,106.84648985,"10420 Jakarta, Indonesia"
20,KENARI,SENEN,JAKARTA PUSAT,DKI JAKARTA,10430,-6.19697399863164,106.848370485168,"10430 Jakarta, Indonesia"
21,PASEBAN,SENEN,JAKARTA PUSAT,DKI JAKARTA,10440,-6.19350448875682,106.851498496565,"10440 Jakarta, Indonesia"
22,KRAMAT,SENEN,JAKARTA PUSAT,DKI JAKARTA,10450,-6.1882708,106.8425078,"10450 Jakarta, Indonesia"
23,BUNGUR,SENEN,JAKARTA PUSAT,DKI JAKARTA,10460,-8.7996802,115.1506101,"10460 Jakarta, Indonesia"
24,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,10510,-6.19297133840802,106.849319215582,"10510 Jakarta, Indonesia"
25,CEMPAKA PUTIH BARAT,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,10520,-6.17644399751905,106.860497326545,"10520 Jakarta, Indonesia"
26,GALUR,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10530,-6.17485912338467,106.856765268034,"10530 Jakarta, Indonesia"
27,TANAH TINGGI,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10540,-6.1757597,106.86933545,"10540 Jakarta, Indonesia"
