,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,GAMBIR,-6.1711625,106.816743889205,Roemah Noni,-6.172589728676554,106.81509684284843,Indonesian Restaurant
1,GAMBIR,-6.1711625,106.816743889205,Wita Tour Head Office,-6.1705047683645216,106.81411030765284,Office
2,GAMBIR,-6.1711625,106.816743889205,RM. Adem Ayem,-6.168777889191461,106.81446968875316,Indonesian Restaurant
3,GAMBIR,-6.1711625,106.816743889205,Museum Taman Prasasti,-6.172320990688624,106.819167137146,History Museum
4,GAMBIR,-6.1711625,106.816743889205,"Toko Binatu ""AN""",-6.168417218093751,106.81430136794748,Indonesian Restaurant
5,GAMBIR,-6.1711625,106.816743889205,Dandy Bakery & Cafe,-6.169824990762937,106.81620597839355,Bakery
6,GAMBIR,-6.1711625,106.816743889205,Pusat Jajanan Jalan Sabang,-6.169023351479658,106.81536322890909,Food Truck
7,GAMBIR,-6.1711625,106.816743889205,Seafood 89,-6.169456647209643,106.81441632492465,Seafood Restaurant
8,GAMBIR,-6.1711625,106.816743889205,Depot Surabaya,-6.169014869569194,106.81536322890909,Indonesian Restaurant
9,GAMBIR,-6.1711625,106.816743889205,Citi M Hotel,-6.170565617174976,106.81890223925869,Hotel
10,GAMBIR,-6.1711625,106.816743889205,Seafood Kesehatan,-6.1705442851384165,106.81486028612836,Seafood Restaurant
11,GAMBIR,-6.1711625,106.816743889205,Gudeg & Ayam Goreng Kalasan Adem Ayem,-6.168766802268502,106.81455299629364,Breakfast Spot
12,GAMBIR,-6.1711625,106.816743889205,Warung sate- sop kambing M. Sani,-6.1754210773106815,106.81701095834244,Food Truck
13,GAMBIR,-6.1711625,106.816743889205,Dimsum Benhil,-6.169045523861036,106.81529409367162,Food Truck
14,GAMBIR,-6.1711625,106.816743889205,Nasi Goreng Barokah Pak Kumis,-6.168644099810346,106.81923483603725,Food Truck
15,GAMBIR,-6.1711625,106.816743889205,Ichiban Sushi FX senayan,-6.172897849780636,106.81996076977171,Japanese Restaurant
16,GAMBIR,-6.1711625,106.816743889205,2 Tang Premium Tea,-6.169779795107335,106.8204965795023,Tea Room
17,KEBON KELAPA,-6.1635065,106.824465586586,Pondok Laguna Resto,-6.162921050959813,106.82527859363547,Seafood Restaurant
18,KEBON KELAPA,-6.1635065,106.824465586586,Chang Tien Restaurant,-6.1630642450392195,106.82574692371013,Asian Restaurant
19,KEBON KELAPA,-6.1635065,106.824465586586,Kwang Tung,-6.162311,106.826552,Chinese Restaurant
20,KEBON KELAPA,-6.1635065,106.824465586586,Holycow Steak Camp Batu Tulis,-6.163459354196783,106.82344580964727,Steakhouse
21,KEBON KELAPA,-6.1635065,106.824465586586,Jun Njan,-6.162319901834154,106.8241834952342,Seafood Restaurant
22,KEBON KELAPA,-6.1635065,106.824465586586,Li Yen Restaurant,-6.163167296829535,106.82472904799084,Chinese Restaurant
23,KEBON KELAPA,-6.1635065,106.824465586586,Luminor Hotel,-6.16413642428213,106.82595309028218,Hotel
24,KEBON KELAPA,-6.1635065,106.824465586586,Pondok Sedap Malam,-6.163409331713966,106.82216362204841,Seafood Restaurant
25,KEBON KELAPA,-6.1635065,106.824465586586,Cut The Crab,-6.162372,106.82255,Seafood Restaurant
26,KEBON KELAPA,-6.1635065,106.824465586586,Ikan Bakar Cianjur,-6.163171907581169,106.8248076628024,Sundanese Restaurant
27,KEBON KELAPA,-6.1635065,106.824465586586,Sanur Chinese Restaurant,-6.1666328650123745,106.82362624738161,Chinese Restaurant
28,KEBON KELAPA,-6.1635065,106.824465586586,PUTIEN 莆田,-6.160989564881586,106.82460566497778,Chinese Restaurant
29,KEBON KELAPA,-6.1635065,106.824465586586,Harris Vertu Hotel,-6.164276215637618,106.82068892178633,Hotel
